,token,lemma,pos,tag,dep,is_sentence_start,is_sentence_end
296,τοῦ,ὁ,DET,S-,det,False,False
297,Ζεβεδαίου,ζεβεδαῖος,PROPN,Ne,nmod,False,False
298,καὶ,καί,CCONJ,C-,cc,False,False
299,Ἰωάννην,ἰωάν(ν)ης,PROPN,Ne,conj,False,False
300,τὸν,ὁ,DET,S-,det,False,False
301,ἀδελφὸν,ἀδελφός,NOUN,Nb,appos,False,False
302,αὐτοῦ,αὐτός,PRON,Pp,det,False,False
303,καὶ,καί,CCONJ,C-,cc,False,False
304,αὐτοὺς,αὐτός,PRON,Pp,conj,False,False
305,ἐν,ἐν,ADP,R-,case,False,False
306,τῷ,ὁ,DET,S-,det,False,False
307,πλοίῳ,πλοῖον,NOUN,Nb,obl,False,False
308,καταρτίζοντας,καταρτίζω,VERB,V-,orphan,False,False
309,τὰ,ὁ,DET,S-,det,False,False
310,δίκτυα,δίκτυον,NOUN,Nb,obj,False,False
311,καὶ,καί,CCONJ,C-,cc,True,False
312,εὐθὺς,εὐθύς,ADV,Df,advmod,False,False
313,ἐκάλεσεν,καλέω,VERB,V-,ROOT,False,False
314,αὐτούς,αὐτός,PRON,Pp,obj,False,True
315,καὶ,καί,CCONJ,C-,cc,True,False
316,ἀφέντες,ἀφίημι,VERB,V-,advcl,False,False
317,τὸν,ὁ,DET,S-,det,False,False
318,πατέρα,πατήρ,NOUN,Nb,obj,False,False
319,αὐτῶν,αὐτός,PRON,Pp,det,False,False
320,Ζεβεδαῖον,ζεβεδαῖος,PROPN,Ne,appos,False,False
321,ἐν,ἐν,ADP,R-,case,False,False
322,τῷ,ὁ,DET,S-,det,False,False
323,πλοίῳ,πλοῖον,NOUN,Nb,obl,False,False
324,μετὰ,μετά,ADP,R-,case,False,False
325,τῶν,ὁ,DET,S-,det,False,False
326,μισθωτῶν,μισθωτός,NOUN,Nb,obl,False,False
327,ἀπῆλθον,ἀπέρχομαι,VERB,V-,ROOT,False,False
328,ὀπίσω,ὀπίσω,ADP,R-,case,False,False
329,αὐτοῦ.,αὐτοῦ.,PRON,Pp,obl,False,True
330,Καὶ,καί,CCONJ,C-,cc,True,False
331,εἰσπορεύονται,εἰσπορεύομαι,VERB,V-,ROOT,False,False
332,εἰς,εἰς,ADP,R-,case,False,False
333,Καφαρναούμ,καφαρναούμ,PROPN,Ne,obl,False,False
334,καὶ,καί,CCONJ,C-,cc,True,False
335,εὐθὺς,εὐθύς,ADV,Df,advmod,False,False
336,τοῖς,ὁ,DET,S-,det,False,False
337,σάββασιν,σάββατον,NOUN,Nb,obl,False,False
338,εἰσελθὼν,εἰσέρχομαι,VERB,V-,advcl,False,False
339,εἰς,εἰς,ADP,R-,case,False,False
340,τὴν,ὁ,DET,S-,det,False,False
341,συναγωγὴν,συναγωγή,NOUN,Nb,obl,False,False
342,ἐδίδασκεν,διδάσκω,VERB,V-,ROOT,False,True
343,καὶ,καί,CCONJ,C-,cc,True,False
344,ἐξεπλήσσοντο,ἐκπλήσσω,VERB,V-,ROOT,False,False
345,ἐπὶ,ἐπί,ADP,R-,case,False,False
346,τῇ,ὁ,DET,S-,det,False,False
347,διδαχῇ,διδαχή,NOUN,Nb,obl,False,False
348,αὐτοῦ,αὐτός,PRON,Pp,det,False,True
349,ἦν,εἰμί,AUX,V-,cop,True,False
350,γὰρ,γάρ,ADV,Df,discourse,False,False
351,διδάσκων,διδάσκω,VERB,V-,ROOT,False,False
352,αὐτοὺς,αὐτός,PRON,Pp,obj,False,False
353,ὡς,ὡς,ADV,Dq,nsubj,False,False
354,ἐξουσίαν,ἐξουσία,NOUN,Nb,obj,False,False
355,ἔχων,ἔχω,VERB,V-,nsubj,False,False
356,καὶ,καί,CCONJ,C-,cc,False,False
357,οὐχ,οὐ,ADV,Df,nsubj,False,False
358,ὡς,ὡς,ADV,Dq,conj,False,False
359,οἱ,ὁ,DET,S-,det,False,False
360,γραμματεῖς,γραμματεύς,NOUN,Nb,iobj,False,True
361,Καὶ,καί,CCONJ,C-,cc,True,False
362,εὐθὺς,εὐθύς,ADV,Df,advmod,False,False
363,ἦν,εἰμί,AUX,V-,ROOT,False,False
364,ἐν,ἐν,ADP,R-,case,False,False
365,τῇ,ὁ,DET,S-,det,False,False
366,συναγωγῇ,συναγωγή,NOUN,Nb,obl,False,False
367,αὐτῶν,αὐτός,PRON,Pp,det,False,False
368,ἄνθρωπος,ἄνθρωπος,NOUN,Nb,nsubj,False,False
369,ἐν,ἐν,ADP,R-,case,False,False
370,πνεύματι,πνεῦμα,NOUN,Nb,nmod,False,False
371,ἀκαθάρτῳ,ἀκάθαρτος,ADJ,A-,amod,False,False
372,καὶ,καί,CCONJ,C-,cc,False,False
373,ἀνέκραξεν,ἀνακράζω,VERB,V-,conj,False,True
374,λέγων,λέγω,VERB,V-,ROOT,True,True
375,τί,τίς,PRON,Pi,ROOT,False,False
376,ἡμῖν,ἡμεῖς,PRON,Pp,iobj,False,False
377,καὶ,καί,CCONJ,C-,cc,False,False
378,σοί,σύ,PRON,Pp,conj,False,False
379,Ἰησοῦ,ἰησοῦς,PROPN,Ne,vocative,False,False
380,Ναζαρηνέ,ναζαρηνός,NOUN,Nb,nmod,False,True
381,ἦλθες,ἔρχομαι,VERB,V-,ROOT,False,False
382,ἀπολέσαι,ἀπόλλυμι,VERB,V-,advcl,False,False
383,ἡμᾶς,ἡμεῖς,PRON,Pp,obj,False,True
384,οἶδά,οἶδα,VERB,V-,ROOT,False,False
385,σε,σύ,PRON,Pp,obj,False,False
386,τίς,τίς,PRON,Pi,ccomp,False,False
387,εἶ,εἰμί,AUX,V-,cop,False,False
388,ὁ,ὁ,DET,S-,det,False,False
389,ἅγιος,ἅγιος,ADJ,A-,nsubj,False,False
390,τοῦ,ὁ,DET,S-,det,False,False
391,θεοῦ.,θεοῦ.,NOUN,Nb,nmod,False,True
392,καὶ,καί,CCONJ,C-,cc,True,False
393,ἐπετίμησεν,ἐπιτιμέω,VERB,V-,ROOT,False,False
394,αὐτῷ,αὐτός,PRON,Pp,iobj,False,False
395,ὁ,ὁ,DET,S-,det,False,False
396,Ἰησοῦς,ἰησοῦς,PROPN,Ne,nsubj,False,False
397,λέγων,λέγω,VERB,V-,advcl,False,True
398,φιμώθητι,φιμόω,VERB,V-,ROOT,True,False
399,καὶ,καί,CCONJ,C-,cc,False,False
400,ἔξελθε,ἐξέρχομαι,VERB,V-,conj,False,False
401,ἐξ,ἐκ,ADP,R-,case,False,False
402,αὐτοῦ.,αὐτοῦ.,PRON,Pp,obl,False,True
403,καὶ,καί,CCONJ,C-,cc,True,False
404,σπαράξαν,σπαράσσω,VERB,V-,advcl,False,False
405,αὐτὸν,αὐτός,PRON,Pp,obj,False,False
406,τὸ,ὁ,DET,S-,det,False,False
407,πνεῦμα,πνεῦμα,NOUN,Nb,nsubj,False,False
408,τὸ,ὁ,DET,S-,det,False,False
409,ἀκάθαρτον,ἀκάθαρτος,ADJ,A-,nmod,False,False
410,καὶ,καί,CCONJ,C-,cc,False,False
411,φωνῆσαν,φωνέω,VERB,V-,conj,False,False
412,φωνῇ,φωνή,NOUN,Nb,obl,False,False
413,μεγάλῃ,μέγας,ADJ,A-,amod,False,False
414,ἐξῆλθεν,ἐξέρχομαι,VERB,V-,ROOT,False,False
415,ἐξ,ἐκ,ADP,R-,case,False,False
416,αὐτοῦ.,αὐτοῦ.,PRON,Pp,obl,False,True
417,καὶ,καί,CCONJ,C-,cc,True,False
418,ἐθαμβήθησαν,θαμβέω,VERB,V-,ROOT,False,False
419,ἅπαντες,ἅπας,ADJ,A-,nsubj:pass,False,False
420,ὥστε,ὥστε,SCONJ,G-,mark,False,False
421,συζητεῖν,συζητέω,VERB,V-,advcl,False,False
422,πρὸς,πρός,ADP,R-,case,False,False
423,ἑαυτοὺς,ἑαυτοῦ,PRON,Pk,obl,False,False
424,λέγοντας,λέγω,VERB,V-,advcl,False,True
425,τί,τίς,PRON,Pi,ROOT,True,False
426,ἐστιν,εἰμί,AUX,V-,cop,False,False
427,τοῦτο,οὗτος,ADJ,Pd,nsubj,False,True
428,διδαχὴ,διδαχή,NOUN,Nb,nsubj,False,False
429,καινὴ,καινός,ADJ,A-,amod,False,False
430,κατ’,κατ’,ADP,R-,case,False,False
431,ἐξουσίαν,ἐξουσία,NOUN,Nb,obl,False,False
432,καὶ,καί,ADV,Df,advmod,False,False
433,τοῖς,ὁ,DET,S-,det,False,False
434,πνεύμασιν,πνεῦμα,NOUN,Nb,iobj,False,False
435,τοῖς,ὁ,DET,S-,det,False,False
436,ἀκαθάρτοις,ἀκάθαρτος,ADJ,A-,nmod,False,False
437,ἐπιτάσσει,ἐπιτάσσω,VERB,V-,ROOT,False,False
438,καὶ,καί,CCONJ,C-,cc,False,False
439,ὑπακούουσιν,ὑπακούω,VERB,V-,conj,False,False
440,αὐτῷ.,αὐτῷ.,PRON,Pp,iobj,False,True
441,καὶ,καί,CCONJ,C-,cc,True,False
442,ἐξῆλθεν,ἐξέρχομαι,VERB,V-,ROOT,False,False
443,ἡ,ὁ,DET,S-,det,False,False
444,ἀκοὴ,ἀκοή,NOUN,Nb,nsubj,False,False
445,αὐτοῦ,αὐτός,PRON,Pp,nmod,False,False
446,εὐθὺς,εὐθύς,ADV,Df,advmod,False,False
